symbol,expiration_date,underlying_ticker,contract_type,shares_per_contract,strike_price,currency
AMZN240202C00080000,2024-02-02,AMZN,call,100,80.0,USD
AMZN240202C00085000,2024-02-02,AMZN,call,100,85.0,USD
AMZN240202C00090000,2024-02-02,AMZN,call,100,90.0,USD
AMZN240202P00080000,2024-02-02,AMZN,put,100,80.0,USD
AMZN240202P00085000,2024-02-02,AMZN,put,100,85.0,USD
AMZN240202P00090000,2024-02-02,AMZN,put,100,90.0,USD
GOOG240202C00075000,2024-02-02,GOOG,call,100,75.0,USD
GOOG240202C00095000,2024-02-02,GOOG,call,100,95.0,USD
GOOG240202C00100000,2024-02-02,GOOG,call,100,100.0,USD
GOOG240202P00095000,2024-02-02,GOOG,put,100,95.0,USD
GOOG240202P00100000,2024-02-02,GOOG,put,100,100.0,USD
GOOG240202P00105000,2024-02-02,GOOG,put,100,105.0,USD
NVDA240202C00070000,2024-02-02,NVDA,call,100,70.0,USD
NVDA240202C00080000,2024-02-02,NVDA,call,100,80.0,USD
NVDA240202C00110000,2024-02-02,NVDA,call,100,110.0,USD
NVDA240202P00090000,2024-02-02,NVDA,put,100,90.0,USD
NVDA240202P00100000,2024-02-02,NVDA,put,100,100.0,USD
NVDA240202P00110000,2024-02-02,NVDA,put,100,110.0,USD
TSLA240202C00020000,2024-02-02,TSLA,call,100,20.0,USD
TSLA240202C00030000,2024-02-02,TSLA,call,100,30.0,USD
TSLA240202C00050000,2024-02-02,TSLA,call,100,50.0,USD
TSLA240202P00020000,2024-02-02,TSLA,put,100,20.0,USD
TSLA240202P00030000,2024-02-02,TSLA,put,100,30.0,USD
TSLA240202P00040000,2024-02-02,TSLA,put,100,40.0,USD
META240202C00090000,2024-02-02,META,call,100,90.0,USD
META240202C00100000,2024-02-02,META,call,100,100.0,USD
META240202C00110000,2024-02-02,META,call,100,110.0,USD
META240202P00150000,2024-02-02,META,put,100,150.0,USD
META240202P00170000,2024-02-02,META,put,100,170.0,USD
META240202P00180000,2024-02-02,META,put,100,180.0,USD
AAPL240202C00075000,2024-02-02,AAPL,call,100,75.0,USD
AAPL240202C00080000,2024-02-02,AAPL,call,100,80.0,USD
AAPL240202C00090000,2024-02-02,AAPL,call,100,90.0,USD
AAPL240202P00080000,2024-02-02,AAPL,put,100,80.0,USD
AAPL240202P00090000,2024-02-02,AAPL,put,100,90.0,USD
AAPL240202P00100000,2024-02-02,AAPL,put,100,100.0,USD
MSFT240202C00250000,2024-02-02,MSFT,call,100,250.0,USD
MSFT240202C00260000,2024-02-02,MSFT,call,100,260.0,USD
MSFT240202C00265000,2024-02-02,MSFT,call,100,265.0,USD
MSFT240202P00190000,2024-02-02,MSFT,put,100,190.0,USD
MSFT240202P00200000,2024-02-02,MSFT,put,100,200.0,USD
MSFT240202P00210000,2024-02-02,MSFT,put,100,210.0,USD
